"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Talen Horton-Tucker","2020","2023","G-F","6-4","234","November 25, 2000","Iowa State"
"Bill Hosket","1969","1972","F-C","6-8","225","December 20, 1946","Ohio State"
"Bob Houbregs*","1954","1958","C-F","6-8","225","March 12, 1932","Washington"
"Danuel House Jr.","2017","2023","G","6-6","220","June 7, 1993","Texas A&M"
"Eddie House","2001","2011","G","6-1","180","May 14, 1978","Arizona State"
"Caleb Houstan","2023","2023","G-F","6-8","205","January 9, 2003","Michigan"
"Allan Houston","1994","2005","G","6-6","200","April 20, 1971","Tennessee"
"Byron Houston","1993","1996","F","6-5","250","November 22, 1969","Oklahoma State"
"Tom Hovasse","1995","1995","F","6-8","205","January 31, 1967","Penn State"
"Brian Howard","1992","1993","F","6-6","204","October 19, 1967","NC State"
"Dwight Howard","2005","2022","C","6-10","265","December 8, 1985",""
"Greg Howard","1971","1972","F-C","6-9","215","January 8, 1948","New Mexico"
"Josh Howard","2004","2013","F-G","6-7","210","April 28, 1980","Wake Forest"
"Juwan Howard","1995","2013","F","6-9","240","February 7, 1973","Michigan"
"Markus Howard","2021","2022","G","5-10","175","March 3, 1999","Marquette"
"Mo Howard","1977","1977","G","6-2","170","August 25, 1954","Maryland"
"Otis Howard","1979","1979","F","6-7","220","November 5, 1956","Austin Peay State University"
"Stephen Howard","1993","1998","F","6-9","225","July 15, 1970","DePaul"
"William Howard","2020","2020","F","6-8","207","October 25, 1993",""
"Bailey Howell*","1960","1971","F","6-7","210","January 20, 1937","Mississippi State"
"Bob Hubbard","1948","1949","C-F","6-6","215","December 27, 1922","Springfield College"
"Phil Hubbard","1980","1989","F-C","6-8","215","December 13, 1956","Michigan"
"Trevor Hudgins","2023","2023","G","6-0","180","March 23, 1999","Northwest Missouri State University"
"Lester Hudson","2010","2015","G","6-3","190","August 7, 1984","University of Tennessee at Martin"
"Lou Hudson*","1967","1979","F-G","6-5","210","July 11, 1944","Minnesota"
"Troy Hudson","1998","2008","G","6-1","170","March 13, 1976","Missouri, Southern Illinois"
"Marcelo Huertas","2016","2017","G","6-3","200","May 25, 1983",""
"Kevin Huerter","2019","2023","G","6-7","190","August 27, 1998","Maryland"
"Josh Huestis","2016","2018","F","6-7","230","December 19, 1991","Stanford"
"Jay Huff","2022","2023","F-C","7-1","240","August 25, 1998","Virginia"
"Nate Huffman","2003","2003","C","7-1","245","April 2, 1975","Central Michigan University"
"Alfredrick Hughes","1986","1986","F-G","6-5","215","July 19, 1962","Loyola Chicago"
"Eddie Hughes","1988","1990","G","5-10","165","May 26, 1960","Colorado State"
"Elijah Hughes","2021","2022","F","6-5","215","March 10, 1998","Syracuse, East Carolina University"
"Kim Hughes","1976","1981","C","6-11","220","June 4, 1952","Wisconsin"
"Larry Hughes","1999","2012","G","6-5","184","January 23, 1979","Saint Louis"
"Rick Hughes","2000","2000","F","6-9","235","August 22, 1973","Thomas More College"
"Robbie Hummel","2014","2015","F","6-8","215","March 8, 1989","Purdue"
"John Hummer","1971","1976","F-C","6-9","230","May 4, 1948","Princeton"
"Ryan Humphrey","2003","2005","F","6-8","235","July 24, 1979","Oklahoma, Notre Dame"
"Isaac Humphries","2019","2019","C","7-0","255","January 5, 1998","Kentucky"
"Jay Humphries","1985","1995","G","6-3","185","October 17, 1962","Colorado"
"Kris Humphries","2005","2017","F-C","6-9","235","February 6, 1985","Minnesota"
"Hot Rod Hundley","1958","1963","G","6-4","185","October 26, 1934","West Virginia"
"Feron Hunt","2022","2022","F","6-8","195","July 5, 1999","SMU"
"Brandon Hunter","2004","2005","F","6-7","260","November 24, 1980","Ohio University"
"Cedric Hunter","1992","1992","G","6-0","180","January 16, 1965","Kansas"
"Chris Hunter","2010","2010","F","6-11","240","July 7, 1984","Michigan"
"De'Andre Hunter","2020","2023","F","6-8","225","December 2, 1997","Virginia"
"Les Hunter","1965","1973","F-C","6-7","210","August 16, 1942","Loyola Chicago"
"Lindsey Hunter","1994","2010","G","6-2","170","December 3, 1970","Alcorn State, Jackson State University"
"Othello Hunter","2009","2010","F","6-8","225","May 28, 1986","Ohio State"
"R.J. Hunter","2016","2019","G","6-5","185","October 24, 1993","Georgia State University"
"Steven Hunter","2002","2010","C","7-0","220","October 31, 1981","DePaul"
"Vince Hunter","2018","2018","F","6-8","208","August 5, 1994","Texas-El Paso"
"Bobby Hurley","1994","1998","G","6-0","165","June 28, 1971","Duke"
"Roy Hurley","1947","1947","F-G","6-2","170","August 12, 1922","Murray State"
"Geoff Huston","1980","1987","G","6-2","175","November 8, 1957","Texas Tech"
"Paul Huston","1948","1948","F","6-3","175","June 2, 1925","Ohio State"
"Mel Hutchins","1952","1958","F-C","6-6","200","November 22, 1928","BYU"
"Chandler Hutchison","2019","2022","G","6-6","210","April 26, 1996","Boise State"
"Joe Hutton","1951","1952","G","6-1","170","October 6, 1928","Hamline University"
"Greg Hyder","1971","1971","F","6-6","215","June 21, 1948","Eastern New Mexico University"
"Bones Hyland","2022","2023","G","6-3","173","September 14, 2000","VCU"
"Marc Iavaroni","1983","1989","F","6-8","210","September 15, 1956","Virginia"
"Serge Ibaka","2010","2023","F-C","6-10","235","September 18, 1989",""
"Andre Iguodala","2005","2023","F-G","6-6","215","January 28, 1984","Arizona"
"Zydrunas Ilgauskas","1998","2011","C","7-3","238","June 5, 1975",""
"Mile Ilić","2007","2007","C","7-1","230","June 2, 1984",""
"D.J. Mbenga","2005","2011","C","7-0","245","December 30, 1980",""
"Ersan İlyasova","2007","2021","F","6-9","235","May 15, 1987",""
"Darrall Imhoff","1961","1972","C","6-10","220","October 11, 1938","California"
"Tom Ingelsby","1974","1976","G","6-3","180","February 12, 1951","Villanova"
"Joe Ingles","2015","2023","F-G","6-8","220","October 2, 1987",""
"Damien Inglis","2016","2016","F","6-8","246","May 20, 1995",""
"Andre Ingram","2018","2019","G","6-3","190","November 19, 1985","American University"
"Brandon Ingram","2017","2023","F","6-8","190","September 2, 1997","Duke"
"McCoy Ingram","1958","1958","F","6-8","210","August 31, 1931","Jackson State University"
"Ervin Inniger","1968","1969","G","6-4","190","January 16, 1945","Indiana"
"Byron Irvin","1990","1993","G","6-5","190","December 2, 1966","Arkansas, Missouri"
"George Irvine","1971","1976","F-G","6-6","200","February 1, 1948","Washington"
"Kyrie Irving","2012","2023","G","6-2","195","March 23, 1992","Duke"
"Jonathan Isaac","2018","2023","F","6-11","230","October 3, 1997","Florida State"
"Dan Issel*","1971","1985","C-F","6-9","235","October 25, 1948","Kentucky"
"Mike Iuzzolino","1992","1993","G","5-10","175","January 22, 1968","Penn State, Saint Francis University"
"Allen Iverson*","1997","2010","G","6-0","165","June 7, 1975","Georgetown"
"Willie Iverson","1969","1969","G","6-0","180","October 8, 1945","Central Michigan University"
"Jaden Ivey","2023","2023","G","6-4","195","February 13, 2002","Purdue"
"Royal Ivey","2005","2014","G","6-3","200","December 20, 1981","Texas"
"Elvin Ivory","1969","1969","F","6-8","210","July 2, 1948","Louisiana"
"Wes Iwundu","2018","2022","F","6-6","195","December 20, 1994","Kansas State"
"Warren Jabali","1969","1975","G-F","6-2","200","August 29, 1946","Wichita State"
"Jarrett Jack","2006","2018","G","6-3","200","October 28, 1983","Georgia Tech"
"Aaron Jackson","2018","2018","G","6-4","185","May 6, 1986","Duquesne"
"Al Jackson","1968","1968","G","6-1","185","July 29, 1943","Wilberforce University"
"Bobby Jackson","1998","2009","G","6-1","185","March 13, 1973","Minnesota"
"Cedric Jackson","2010","2010","G","6-3","191","March 5, 1986","St. John's, Cleveland State University"
"Darnell Jackson","2009","2011","F","6-9","253","November 7, 1985","Kansas"
"Demetrius Jackson","2017","2019","G","6-1","201","September 7, 1994","Notre Dame"
"Frank Jackson","2019","2023","G","6-3","205","May 4, 1998","Duke"
"Greg Jackson","1975","1975","G","6-0","180","August 2, 1952","Guilford College"
"Isaiah Jackson","2022","2023","C-F","6-10","206","January 10, 2002","Kentucky"
"Jaren Jackson","1990","2002","G-F","6-4","190","October 27, 1967","Georgetown"
"Jaren Jackson Jr.","2019","2023","F","6-11","242","September 15, 1999","Michigan State"
"Jermaine Jackson","2000","2006","G","6-4","204","June 7, 1976","Detroit Mercy"
"Jim Jackson","1993","2006","G","6-6","220","October 14, 1970","Ohio State"
"Josh Jackson","2018","2022","F-G","6-8","207","February 10, 1997","Kansas"
"Justin Jackson","2018","2023","G-F","6-8","220","March 28, 1995","UNC"
"Luke Jackson","1965","1972","F-C","6-9","240","October 31, 1941","University of Texas Rio Grande Valley"
"Luke Jackson","2005","2008","F","6-7","215","November 6, 1981","Oregon"
"Marc Jackson","2001","2007","C","6-10","270","January 16, 1975","VCU, Temple"
"Mark Jackson","1988","2004","G","6-1","180","April 1, 1965","St. John's"
"Merv Jackson","1969","1973","G","6-3","175","August 15, 1946","Utah"
"Michael Jackson","1988","1990","G","6-2","183","July 13, 1964","Georgetown"
"Mike Jackson","1973","1976","F","6-7","215","July 31, 1949","Allan Hancock College, California State University, Los Angeles"
"Myron Jackson","1987","1987","G","6-3","185","May 6, 1964","Little Rock"
"Phil Jackson*","1968","1980","F-C","6-8","220","September 17, 1945","University of North Dakota"
"Pierre Jackson","2017","2017","G","5-10","180","August 29, 1991","Baylor"
"Quenton Jackson","2023","2023","G","6-5","175","September 15, 1998","Texas A&M"
"Ralph Jackson","1985","1985","G","6-2","190","October 26, 1962","UCLA"
"Randell Jackson","1999","2000","F","6-11","215","January 16, 1976","Florida State"
"Reggie Jackson","2012","2023","G","6-2","208","April 16, 1990","Boston College"
"Stanley Jackson","1994","1994","G","6-3","185","October 10, 1970","UAB"
"Stephen Jackson","2001","2014","F-G","6-8","218","April 5, 1978","Butler County Community College"
"Tony Jackson","1968","1969","F-G","6-4","200","November 7, 1942","St. John's"
"Tony Jackson","1981","1981","G","6-0","170","January 17, 1958","Florida State"
"Tracy Jackson","1982","1984","G-F","6-6","205","April 21, 1959","Notre Dame"
"Wardell Jackson","1975","1975","F","6-7","200","July 18, 1951","Ohio State"
"Fred Jacobs","1947","1947","F","6-3","175","December 2, 1922","Denver"
"Casey Jacobsen","2003","2008","G-F","6-6","215","March 19, 1981","Stanford"
"Sam Jacobson","1999","2001","G-F","6-4","215","July 22, 1975","Minnesota"
"Dave Jamerson","1991","1994","G-F","6-5","190","August 13, 1967","Ohio University"
"Aaron James","1975","1979","F","6-8","210","October 5, 1952","Grambling State University"
"Bernard James","2013","2015","C","6-10","240","February 7, 1985","Florida State"
"Billy James","1974","1974","G","6-3","185","February 11, 1950","Marshall"
"Damion James","2011","2014","G-F","6-7","225","October 7, 1987","Texas"
"Gene James","1949","1951","F","6-4","180","February 15, 1925","Marshall"
"Henry James","1991","1998","F","6-8","220","July 29, 1965","South Plains College, St. Mary's University"
"Jerome James","1999","2009","C","7-0","300","November 17, 1975","Florida A&M"
"Justin James","2020","2021","G","6-7","190","January 24, 1997","Wyoming"
"LeBron James","2004","2023","F-G","6-9","250","December 30, 1984",""
"Mike James","2002","2014","G","6-2","188","June 23, 1975","Duquesne"
"Mike James","2018","2021","G","6-1","189","August 18, 1990","Lamar"
"Tim James","2000","2002","F","6-7","212","December 26, 1976","Miami (FL)"
"Antawn Jamison","1999","2014","F","6-8","223","June 12, 1976","UNC"
"Harold Jamison","2000","2002","F","6-8","260","November 20, 1976","Clemson"
"John Janisch","1947","1948","F-G","6-3","200","March 15, 1920","Valparaiso"
"Howie Janotta","1950","1950","F","6-3","185","October 19, 1924","Seton Hall"
"Marko Jarić","2003","2009","G","6-7","198","October 12, 1978",""
"Tony Jaros","1947","1951","F-G","6-3","185","February 22, 1920","Minnesota"
"DeJon Jarreau","2022","2022","G","6-5","185","January 23, 1998","UMass, Houston"
"Jim Jarvis","1968","1969","G","6-1","175","March 3, 1943","Oregon State"
"Šarūnas Jasikevičius","2006","2007","G","6-4","195","March 5, 1976","Maryland"
"Nathan Jawai","2009","2010","C-F","6-10","280","October 10, 1986","Midland College"
"Buddy Jeannette*","1948","1950","G","5-11","175","September 15, 1917","Washington & Jefferson College"
"Abdul Jeelani","1980","1981","F-C","6-8","210","February 10, 1954","University of Wisconsin-Parkside"
"Chris Jefferies","2003","2004","G-F","6-8","225","February 13, 1980","Arkansas, Fresno State"
"Othyus Jeffers","2010","2014","G","6-5","200","August 5, 1985","University of Illinois at Chicago, Robert Morris University (IL)"
"Al Jefferson","2005","2018","C-F","6-10","289","January 4, 1985",""
"Amile Jefferson","2019","2020","F","6-9","222","May 7, 1993","Duke"
"Cory Jefferson","2015","2016","F","6-9","218","December 26, 1990","Baylor"
"Dontell Jefferson","2009","2009","G","6-5","195","December 15, 1983","Arkansas"
"Richard Jefferson","2002","2018","F","6-7","233","June 21, 1980","Arizona"
"DaQuan Jeffries","2020","2022","G-F","6-5","230","August 30, 1997","Oral Roberts, Tulsa"
"Jared Jeffries","2003","2013","F","6-11","230","November 25, 1981","Indiana"
"Charles Jenkins","2012","2013","G","6-3","220","February 28, 1989","Hofstra"
"Horace Jenkins","2005","2005","G","6-1","180","October 14, 1974","William Paterson University"
"John Jenkins","2013","2019","G","6-4","215","March 6, 1991","Vanderbilt"
"Brandon Jennings","2010","2018","G","6-1","170","September 23, 1989",""
"Keith Jennings","1993","1995","G","5-7","160","November 2, 1968","East Tennessee State University"
"Chris Jent","1994","1997","F","6-7","220","January 11, 1970","Ohio State"
"Les Jepsen","1991","1992","C","7-0","237","June 24, 1967","Iowa"
"Jonas Jerebko","2010","2019","F","6-10","231","March 2, 1987",""
"Ty Jerome","2020","2023","G","6-5","195","July 8, 1997","Virginia"
"Grant Jerrett","2015","2015","F","6-10","235","July 8, 1993","Arizona"
"Eugene Jeter","2011","2011","G","5-11","175","December 2, 1983","University of Portland"
"Hal Jeter","1970","1970","G","6-3","190","May 17, 1945","Drake University"
"Yi Jianlian","2008","2012","F","7-0","240","October 27, 1987",""
"Isaiah Joe","2021","2023","G","6-4","165","July 2, 1999","Arkansas"
"Britton Johnsen","2004","2005","F","6-10","210","July 8, 1979","Utah"
"Alexander Johnson","2007","2008","F","6-9","240","February 8, 1983","Florida State"
"Alize Johnson","2019","2023","F","6-7","212","April 22, 1996","Missouri State"
"Amir Johnson","2006","2019","F-C","6-9","240","May 1, 1987",""
"Andy Johnson","1959","1962","F-G","6-5","215","November 8, 1932","University of Portland"
"Anthony Johnson","1998","2010","G","6-3","190","October 2, 1974","College of Charleston"
"Armon Johnson","2011","2012","G","6-3","195","February 23, 1989","Nevada"
"Arnie Johnson","1949","1953","F-C","6-5","236","May 16, 1920","Bemidji State University"
"Avery Johnson","1989","2004","G","5-10","175","March 25, 1965","Cameron University, Southern University and A&M College"
"B.J. Johnson","2019","2022","G","6-7","200","December 21, 1995","Syracuse, La Salle"
"Brice Johnson","2017","2018","F","6-10","230","June 27, 1994","UNC"
"Buck Johnson","1987","1993","F","6-7","190","January 3, 1964","Alabama"
"Cameron Johnson","2020","2023","F","6-8","210","March 3, 1996","Pitt, UNC"
"Carldell Johnson","2012","2012","G","5-10","180","January 28, 1983","UAB"
"Charles Johnson","1973","1979","G","6-0","170","March 31, 1949","California"
"Cheese Johnson","1980","1980","F-G","6-6","195","September 7, 1957","Wichita State"
"Chris Johnson","2011","2013","C","6-11","210","July 15, 1985","LSU"
"Chris Johnson","2013","2016","F-G","6-6","206","April 29, 1990","Dayton"
"Clay Johnson","1982","1984","G","6-4","175","July 18, 1956","Missouri"
"Clemon Johnson","1979","1988","C-F","6-10","240","September 12, 1956","Florida A&M"
"Dakari Johnson","2018","2018","C","7-0","255","September 22, 1995","Kentucky"
"Darryl Johnson","1996","1996","G","6-1","170","October 26, 1965","Michigan State"
"Dave Johnson","1993","1994","G-F","6-7","210","November 16, 1970","Syracuse"
"David Johnson","2022","2022","G","6-5","210","February 26, 2001","Louisville"
"DeMarco Johnson","2000","2000","F","6-9","245","October 6, 1975","UNC Charlotte"
"Dennis Johnson*","1977","1990","G","6-4","185","September 18, 1954","Pepperdine"
"DerMarr Johnson","2001","2008","F","6-9","201","May 5, 1980","Cincinnati"
"Ed Johnson","1969","1971","C","6-8","205","June 17, 1944","Tennessee State"
"Eddie Johnson","1978","1987","G","6-2","180","February 24, 1955","Auburn"
